"","CATEGORY","BIBTEXKEY","ADDRESS","ANNOTE","AUTHOR","BOOKTITLE","CHAPTER","CROSSREF","EDITION","EDITOR","HOWPUBLISHED","INSTITUTION","JOURNAL","KEY","MONTH","NOTE","NUMBER","ORGANIZATION","PAGES","PUBLISHER","SCHOOL","SERIES","TITLE","TYPE","VOLUME","YEAR","DOI","ISSN","ISSUE","URL","ABSTRACT","ISBN","AUTHOR.1","JOURNAL.1","NOTE.1","PAGES.1","TITLE.1","VOLUME.1","YEAR.1","DOI.1","ISSN.1","URL.1"
"57","ARTICLE","Obse202057",NA,NA,"Alejandro Rodríguez-Molinero, Carlos Pérez-López, César Gálvez-Barrón, Antonio Miñarro, Oscar Macho, Gabriela F. López, Maria Teresa Robles, María Dolores Dapena, Sergi Martínez, Ezequiel Rodríguez, Isabel Collado",NA,NA,NA,NA,"Stelios Loukides",NA,NA,"PLOS ONE",NA,"9","SGR2022: YES , PID: NO , HQ: 2 , IF: 3,24 , Firstauthor: NO , Lastauthor: NO , Bioinf: 0 , Stat_Prob: 0 ,  ,",NA,NA,"e0238681",NA,NA,NA,"Observational study of azithromycin in hospitalized patients with COVID-19",NA,"15","2020","10.1371/journal.pone.0238681","1932-6203","9","https://dx.plos.org/10.1371/journal.pone.0238681",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","ARTICLE","Pain202058",NA,NA,"César Gálvez-Barrón, Francesc Formiga, Antonio Miñarro, Oscar Macho, Leire Narvaiza, María Dolores Dapena, Ramon Pujol, Alejandro Rodríguez-Molinero",NA,NA,NA,NA,"NA",NA,NA,"BMC Geriatrics",NA,"12","SGR2022: YES , PID: NO , HQ: 1 , IF: 3,921 , Firstauthor: NO , Lastauthor: NO , Bioinf: 0 , Stat_Prob: 0 ,  ,",NA,NA,"15",NA,NA,NA,"Pain and recurrent falls in the older and oldest-old non-institutionalized population",NA,"20","2020","10.1186/s12877-020-1412-8","1471-2318","1","https://bmcgeriatr.biomedcentral.com/articles/10.1186/s12877-020-1412-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","ARTICLE","Repl202059",NA,NA,"M. Palau-Rodríguez, M. Garcia-Aloy, M. Rosa Bernal-Lopez, R. Gómez-Huelgas, F.J. Tinahones, A. Miñarro, C. Andrés-Lacueva",NA,NA,NA,NA,"NA",NA,NA,"Clinical Nutrition",NA,"9","SGR2022: YES , PID: NO , HQ: 1 , IF: 7,324 , Firstauthor: NO , Lastauthor: NO , Bioinf: 0 , Stat_Prob: 0 ,  ,",NA,NA,"2933-2934",NA,NA,NA,"Reply to the letter to the editor: Lifestyle interventions on weight loss among metabolically healthy obese women",NA,"39","2020","10.1016/j.clnu.2020.07.017","02615614","9","https://linkinghub.elsevier.com/retrieve/pii/S0261561420303824",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","ARTICLE","Seas201960",NA,NA,"Trinitat Cambras, Eva Pardina, Julia Carmona, David Ricart-Jane, Antonio Minarro, Roser Ferrer, Albert Lecube, Jose María Balibrea, Enric Caubet, Oscar González, Ramón Vilallonga, Elena Cuello, Jose Manuel Fort, Juan A. Baena-Fustegueras, Antoni Díez-Noguera, Julia Peinado-Onsurbe",NA,NA,NA,NA,"NA",NA,NA,"Chronobiology International",NA,"5","SGR2022: YES , PID: NO , HQ: 2 , IF: 2,486 , Firstauthor: NO , Lastauthor: NO , Bioinf: 0 , Stat_Prob: 0 ,  ,",NA,NA,"672-680",NA,NA,NA,"Seasonal variation of body weight loss after bariatric surgery",NA,"36","2019","10.1080/07420528.2019.1580716","0742-0528","5","https://www.tandfonline.com/doi/full/10.1080/07420528.2019.1580716",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","ARTICLE","Seas201961",NA,NA,"Trinitat Cambras, Eva Pardina, Júlia Carmona, David Ricart-Jané, Antonio Miñarro, Roser Ferrer, Albert Lecube, José María Balibrea, Enric Caubet, Oscar González, Ramón Vilallonga, Jose Manuel Fort, Elena Cuello, Juan A. Baena-Fustegueras, Antoni Díez-Noguera, Julia Peinado-Onsurbe",NA,NA,NA,NA,"NA",NA,NA,"Chronobiology International",NA,"2","SGR2022: YES , PID: NO , HQ: 2 , IF: 2,562 , Firstauthor: NO , Lastauthor: NO , Bioinf: 0 , Stat_Prob: 0 ,  ,",NA,NA,"250-257",NA,NA,NA,"Seasonal variations of changes in lipid and glucidic variables after bariatric surgery",NA,"36","2019","10.1080/07420528.2018.1533560","0742-0528","2","https://www.tandfonline.com/doi/full/10.1080/07420528.2018.1533560",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","ARTICLE","Thes201962",NA,NA,"Alejandro Rodríguez-Molinero, Alexandra Herrero-Larrea, Antonio Miñarro, Leire Narvaiza, César Gálvez-Barrón, Natalia Gonzalo León, Esther Valldosera, Eva de Mingo, Oscar Macho, David Aivar, Efren Pinzón, Adilis Alba, Jorge Passarelli, Nadia Stasi, Rosa Ana Valverde, Liane Kruse, Elisabet Felipe, Isabel Collado, Joan Bosch Sabater",NA,NA,NA,NA,"NA",NA,NA,"Scientific Reports",NA,"6","SGR2022: YES , PID: NO , HQ: 1 , IF: 3,998 , Firstauthor: NO , Lastauthor: NO , Bioinf: 0 , Stat_Prob: 0 ,  ,",NA,NA,"8813",NA,NA,NA,"The spatial parameters of gait and their association with falls, functional decline and death in older adults: a prospective study",NA,"9","2019","10.1038/s41598-019-45113-2","2045-2322","1","https://www.nature.com/articles/s41598-019-45113-2","<p>Association between spatial gait parameters and adverse health outcomes in the elderly has not been sufficiently studied. The goal of this study is to evaluate whether the stride length or the step width predict falls, functional loss and mortality. We conducted a prospective cohort study on a probabilistic sample of 431 noninstitutionalized, older-than-64-years subjects living in Spain, who were followed-up for five years. In the baseline visit, spatial gait parameters were recorded along with several control variables, with special emphasis on known medical conditions, strength, balance and functional and cognitive capacities. In the follow-up calls, vital status, functional status and number of falls from last control were recorded. We found that a normalized-to-height stride length shorter than 0.52 predicted recurrent falls in the next 6 months with 93% sensitivity and 53% specificity (AUC: 0.72), and in the next 12 months with 81% sensitivity and 57% specificity (AUC: 0.67). A normalized stride length &lt;0.5 predicted functional loss at 12 months with a sensitivity of 79.4% and specificity of 65.6% (AUC: 0.75). This predictive capacity remained independent after correcting for the rest of risk factors studied. Step-with was not clearly related to functional loss or falls. Both shorter normalized stride length (OR1.56; AUC: 0.62; p &lt; 0.05) and larger step width (OR1.42; AUC: 0.62; p &lt; 0.05) were associated with risk of death at 60 months; however, none of them remained as independent predictor of death, after correcting for other risk factors. In summary, spatial gait parameters may be risk markers for adverse outcomes in the elderly. Step length is independently associated with functional loss and falls at one year, after correction for numerous known risk factors.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","ARTICLE","Visc202163",NA,NA,"Magalí Palau-Rodriguez, Anna Marco-Ramell, Patricia Casas-Agustench, Sara Tulipani, Antonio Miñarro, Alex Sanchez-Pla, Mora Murri, Francisco J. Tinahones, Cristina Andres-Lacueva",NA,NA,NA,NA,"NA",NA,NA,"Journal of Proteome Research",NA,"5","SGR2022: YES , PID: NO , HQ: 1 , IF: 4,074 , Firstauthor: NO , Lastauthor: NO , Bioinf: 0 , Stat_Prob: 0 ,  ,",NA,NA,"2410-2419",NA,NA,NA,"Visceral Adipose Tissue Phospholipid Signature of Insulin Sensitivity and Obesity",NA,"20","2021","10.1021/acs.jproteome.0c00918","1535-3893","5","https://pubs.acs.org/doi/10.1021/acs.jproteome.0c00918",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","ARTICLE","Ther202264",NA,NA,"Tomás Meroño, Gregorio Peron, Giorgio Gargari, Raúl González-Domínguez, Antonio Miñarro, Esteban Vegas-Lozano, Nicole Hidalgo-Liberona, Cristian Del Bo', Stefano Bernardi, Paul Antony Kroon, Barbara Carrieri, Antonio Cherubini, Patrizia Riso, Simone Guglielmetti, Cristina Andrés-Lacueva",NA,NA,NA,NA,"NA",NA,NA,"Food Research International",NA,"9","SGR2022: YES , PID: NO , HQ:  , IF:  , Firstauthor: NO , Lastauthor: NO , Bioinf:  , Stat_Prob:  ,  ,",NA,NA,"111632",NA,NA,NA,"The relevance of urolithins-based metabotyping for assessing the effects of a polyphenol-rich dietary intervention on intestinal permeability: A post-hoc analysis of the MaPLE trial",NA,"159","2022","10.1016/j.foodres.2022.111632","09639969",NA,"https://linkinghub.elsevier.com/retrieve/pii/S0963996922006901",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","ARTICLE","APol202265",NA,NA,"Gregorio Peron, Tomás Meroño, Giorgio Gargari, Nicole Hidalgo� Liberona, Antonio Miñarro, Esteban Vegas Lozano, Pol Castellano� Escuder, Raúl González� Domínguez, Cristian del Bo', Stefano Bernardi, Paul A. Kroon, Antonio Cherubini, Patrizia Riso, Simone Guglielmetti, Cristina Andrés� Lacueva",NA,NA,NA,NA,"NA",NA,NA,"Molecular Nutrition & Food Research",NA,"11","SGR2022: YES , PID: NO , HQ:  , IF:  , Firstauthor: NO , Lastauthor: NO , Bioinf:  , Stat_Prob:  ,  ,",NA,NA,"2100349",NA,NA,NA,"A Polyphenol� Rich Diet Increases the Gut Microbiota Metabolite Indole 3� Propionic Acid in Older Adults with Preserved Kidney Function",NA,"66","2022","10.1002/mnfr.202100349","1613-4125","21","https://onlinelibrary.wiley.com/doi/10.1002/mnfr.202100349",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","INPROCEEDINGS","A3Dm202066",NA,NA,"A. Banaszek, S. Banaszek, A. Cellmer, V. Gibert, C. Serrat",NA,NA,NA,NA,"NA",NA,NA,"XV International Conference on Durability of Building Materials and Components. eBook of Proceedings",NA,NA,"SGR2022: YES , PID: NO , NA , NA , Firstauthor: NO , Lastauthor: NO , Bioinf: 0 , Stat_Prob: 0 ,  ,",NA,NA,NA,"CIMNE",NA,NA,"A 3D model for building condition assessment",NA,NA,"2020","10.23967/dbmc.2020.235",NA,NA,"https://www.scipedia.com/public/Banaszek_et_al_2020a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","ARTICLE","AFul201967",NA,NA,"Anna Banaszek, Sebastian Banaszek, Anna Cellmer, Vicenc Gibert, Carles Serrat",NA,NA,NA,NA,"NA",NA,NA,"IOP Conference Series: Materials Science and Engineering",NA,"9","SGR2022: YES , PID: NO , NA , IF: SJR - SCImago 0.201 , Firstauthor: NO , Lastauthor: NO , Bioinf: 0 , Stat_Prob: 1 ,  ,",NA,NA,"022011",NA,NA,NA,"A Fully Interactive Visualization Method for Building Condition Assessment",NA,"603","2019","10.1088/1757-899X/603/2/022011","1757-8981","2","https://iopscience.iop.org/article/10.1088/1757-899X/603/2/022011","<p>The aim of the paper is to introduce a tool for the accurate assessment of the technical condition of buildings. The proposed methodology is becoming an efficient strategy for the massive inspection of building stocks, in big residential areas. The authors have developed an utility based on high-performance images captured by Unmanned Aerial Vehicles (UAVs). The flights of the UAVs have been technically protocolized in order to get the proper high-quality information about the real condition of the building. After collecting the images a 3D model is generated and orthophotos of building facades are created. The graphical information is connected with tables of attributes which allow the interactive geo-referenced management and assessment. Main requirements and advantages of this visualization technique will be presented by analyzing a particular case study. The selected example will allow the illustration of the methodology. Ongoing developments and technical details about the information system and the analysis platform connected with the visualization tool will be also reported.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","INPROCEEDINGS","ANon202068",NA,NA,"C. Serrat, V. Gibert, J. Casas, J. Rapiński",NA,NA,NA,NA,"NA",NA,NA,"XV International Conference on Durability of Building Materials and Components. eBook of Proceedings",NA,NA,"SGR2022: YES , PID: NO , NA , NA , Firstauthor: YES , Lastauthor: YES , Bioinf: 0 , Stat_Prob: 0 ,  ,",NA,NA,NA,"CIMNE",NA,NA,"A Nonparametric Statistical Model for the Selection of Significant Variables Acting in the Deterioration of Built Façades",NA,NA,"2020","10.23967/dbmc.2020.234",NA,NA,"https://www.scipedia.com/public/Serrat_et_al_2020a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","ARTICLE","Asta201669",NA,NA,"Laura Calvet, A.Angel Juan, Carles Serrat, Jana Ries",NA,NA,NA,NA,"NA",NA,NA,"SORT",NA,NA,"SGR2022: YES , PID: NO , HQ: 3 , IF: 0,812 , Firstauthor: NO , Lastauthor: NO , Bioinf: 0 , Stat_Prob: 1 ,  ,",NA,NA,"201-224",NA,NA,NA,"A statistical learning based approach for parameter fine-tuning of metaheuristics",NA,"40","2016","10.2436/20.8080.02.41",NA,"1",NA,"Metaheuristics are approximation methods used to solve combinatorial optimization problems. Their performance usually depends on a set of parameters that need to be adjusted. The selectionof appropriate parameter values causes a loss of efficiency, as it requires time, and advanced analytical and problem-specific skills. This paper provides an overview of the principal approaches to tackle the Parameter Setting Problem, focusing on the statistical procedures employed so far by the scientific community. In addition, a novel methodology is proposed, which is tested using an already existing algorithm for solving the Multi-Depot Vehicle Routing Problem.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","INPROCEEDINGS","AVec202070",NA,NA,"F. Ruiz, A. Aguado, C. Serrat",NA,NA,NA,NA,"NA",NA,NA,"XV International Conference on Durability of Building Materials and Components. eBook of Proceedings",NA,NA,"SGR2022: YES , PID: NO , NA , NA , Firstauthor: NO , Lastauthor: NO , Bioinf: 0 , Stat_Prob: 0 ,  ,",NA,NA,NA,"CIMNE",NA,NA,"A Vector Scale of Severity of Damages in Buildings",NA,NA,"2020","10.23967/dbmc.2020.236",NA,NA,"https://www.scipedia.com/public/Ruiz_et_al_2020a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","ARTICLE","Anal201871",NA,NA,"Tomáš Hanák, Carles Serrat",NA,NA,NA,NA,"NA",NA,NA,"Advances in Civil Engineering",NA,"12","SGR2022: YES , PID: NO , HQ: 3 , IF: 1,104 , Firstauthor: NO , Lastauthor: NO , Bioinf: 0 , Stat_Prob: 0 ,  ,",NA,NA,"1-13",NA,NA,NA,"Analysis of Construction Auctions Data in Slovak Public Procurement",NA,"2018","2018","10.1155/2018/9036340","1687-8086",NA,"https://www.hindawi.com/journals/ace/2018/9036340/","<p>The requirement for efficient public spending leads contracting authorities to use electronic reverse auctions (e-RA), a tool that allows achieving financial savings. In this study, we aim to explore the relationships between the different acting e-RA variables and to check for predictive models in order to infer on the savings amount in construction public procurement. Data on real construction auctions in Slovakia were statistically analysed by means of graphics tools, multiple regression analysis, test, and statistics for measuring the association between categorical variables. The results revealed that one should take the type of contract into account when considering the use of e-RA. This research provides several implications for purchasing practitioners in the area of construction procurement, especially with regard to the level of competition in the auction and estimation of savings potential. Presented findings aid managerial decision-making process of e-RA adoption. At the end, recommended future research directions in the investigated area are outlined.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","ARTICLE","Appl201972",NA,NA,"Czesław Suchocki, Jacek Katzer, Carles Serrat, Marcin Jagoda",NA,NA,NA,NA,"NA",NA,NA,"IOP Conference Series: Materials Science and Engineering",NA,"9","SGR2022: YES , PID: NO , NA , IF: SJR - SCImago 0.201 , Firstauthor: NO , Lastauthor: NO , Bioinf: 0 , Stat_Prob: 0 ,  ,",NA,NA,"022100",NA,NA,NA,"Application of TLS Intensity Data for Detection of Brick Walls Defects",NA,"603","2019","10.1088/1757-899X/603/2/022100","1757-8981","2","https://iopscience.iop.org/article/10.1088/1757-899X/603/2/022100","<p>Terrestrial Laser Scanning (TLS) is a well-established technique for remote acquisition of geometrical data of a tested object. For the past two decades it has been commonly used in geodesy, surveying and related areas for acquiring data about spacing of civil engineering structures and buildings. An average TLS apparatus, apart from 3D coordinates registers radiometric information of laser beam reflectance. This radiometric information of the laser beam reflectance is usually called intensity and has no meaning for solely geometric measurements. Nevertheless, the value of intensity depends mainly on physicochemical properties of scanned material such as roughness, colour and saturation. Keeping these facts in mind, authors suggest using changes in value of intensity to locate various imperfections on a brick wall. So far, authors have conducted a thorough and successful research programme dedicated to detection of saturation and saturation movement in brick walls. Based on this experience a new research programme was conducted focused on various aspects of detection of brick wall defects. The main aim of the paper is to present the possibility of using the intensity value in for the diagnostics of the technical condition of a brick walls. Advantages and limitations of harnessing TLS for detection of surface defects of brick walls are presented and discussed in the paper.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","ARTICLE","Chan202173",NA,NA,"Vlad I. Bocanet, Ken Brown, Anne Uukkivi, Filomena Soares, Ana Paula Lopes, Anna Cellmer, Carles Serrat, Cristina Feniser, Florina M. Serdean, Elena Safiulina, Gerald Kelly, Joanna Cymerman, Igor Kierkosz, Volodymyr Sushch, Marina Latõnina, Oksana Labanova, M. Montserrat Bruguera, Chara Pantazi, M. Rosa Estela",NA,NA,NA,NA,"NA",NA,NA,"Sustainability",NA,"4","SGR2022: YES , PID: NO , HQ: 2 , IF: 3,251 , Firstauthor: NO , Lastauthor: NO , Bioinf: 0 , Stat_Prob: 0 ,  ,",NA,NA,"4495",NA,NA,NA,"Change in Gap Perception within Current Practices in Assessing Students Learning Mathematics",NA,"13","2021","10.3390/su13084495","2071-1050","8","https://www.mdpi.com/2071-1050/13/8/4495","<p>The COVID pandemic has touched many aspects of everyone’s life. Education is one of the fields greatly affected by it, as students and teachers were forced to move online and quickly adapt to the online environment. Assessment is a crucial part of education, especially in STEM fields. A gap analysis was performed by expert groups in the frame of an Erasmus+ project looking at the practices of six European countries. Specialists teaching university-grade mathematics in seven European institutions were asked about their perception of gaps in the assessment of students both before (2019) and during (2021) the pandemic. This qualitative study looks at the difference in perception of such gaps after almost one year of online teaching. The analysis of their responses showed that some gaps were present before the pandemic, as well as others that are specific to it. Some gaps, such as the lack of IT infrastructure and the need to adapt materials to an online environment, have been exacerbated by the outbreak.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","ARTICLE","Comb202174",NA,NA,"Javier Panadero, Majsa Ammouriova, Angel A. Juan, Alba Agustin, Maria Nogal, Carles Serrat",NA,NA,NA,NA,"NA",NA,NA,"Applied Sciences",NA,"12","SGR2022: YES , PID: NO , HQ: 2 , IF: 2679 , Firstauthor: NO , Lastauthor: NO , Bioinf: 0 , Stat_Prob: 1 ,  ,",NA,NA,"12092",NA,NA,NA,"Combining Parallel Computing and Biased Randomization for Solving the Team Orienteering Problem in Real-Time",NA,"11","2021","10.3390/app112412092","2076-3417","24","https://www.mdpi.com/2076-3417/11/24/12092","<p>In smart cities, unmanned aerial vehicles and self-driving vehicles are gaining increased concern. These vehicles might utilize ultra-reliable telecommunication systems, Internet-based technologies, and navigation satellite services to locate their customers and other team vehicles to plan their routes. Furthermore, the team of vehicles should serve their customers by specified due date efficiently. Coordination between the vehicles might be needed to be accomplished in real-time in exceptional cases, such as after a traffic accident or extreme weather conditions. This paper presents the planning of vehicle routes as a team orienteering problem. In addition, an ‘agile’ optimization algorithm is presented to plan these routes for drones and other autonomous vehicles. This algorithm combines an extremely fast biased-randomized heuristic and a parallel computing approach.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","ARTICLE","Comm201775",NA,NA,"Nuria Forcada, Carles Serrat, Sonia Rodríguez, Rafaela Bortolini",NA,NA,NA,NA,"NA",NA,NA,"Journal of Management in Engineering",NA,"11","SGR2022: YES , PID: NO , HQ: 1 , IF: 2,282 , Firstauthor: NO , Lastauthor: NO , Bioinf: 0 , Stat_Prob: 0 ,  ,",NA,NA,NA,NA,NA,NA,"Communication Key Performance Indicators for Selecting Construction Project Bidders",NA,"33","2017","10.1061/(ASCE)ME.1943-5479.0000552","0742-597X","6","https://ascelibrary.org/doi/10.1061/%28ASCE%29ME.1943-5479.0000552",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","ARTICLE","Cond201976",NA,NA,"Félix Ruiz, Antonio Aguado, Carles Serrat, Joan R. Casas",NA,NA,NA,NA,"NA",NA,NA,"Structure and Infrastructure Engineering",NA,"10","SGR2022: YES , PID: NO , HQ: 2 , IF: 2,62 , Firstauthor: NO , Lastauthor: NO , Bioinf: 0 , Stat_Prob: 1 ,  ,",NA,NA,"1346-1365",NA,NA,NA,"Condition assessment of building façades based on hazard to people",NA,"15","2019","10.1080/15732479.2019.1621907","1573-2479","10","https://www.tandfonline.com/doi/full/10.1080/15732479.2019.1621907",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","INPROCEEDINGS","DIST201877",NA,NA,"Alejandro Estrada-Moreno, Marta Cavero-Lazaro, Angel A. Juan, Carles Serrat, Maria Nogal",NA,NA,NA,NA,"NA",NA,NA,"2018 Winter Simulation Conference (WSC)",NA,"12","SGR2022: YES , PID: NO , HQ: 1 , IF: 10,252 , Firstauthor: NO , Lastauthor: NO , Bioinf: 0 , Stat_Prob: 1 ,  ,",NA,NA,"3013-3024","IEEE",NA,NA,"DISTRIBUTION PLANNING IN A WEATHER-DEPENDENT SCENARIO WITH STOCHASTIC TRAVEL TIMES: A SIMHEURISTIC APPROACH",NA,NA,"2018","10.1109/WSC.2018.8632397",NA,NA,"https://ieeexplore.ieee.org/document/8632397/",NA,"978-1-5386-6572-5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","ARTICLE","Esca201878",NA,NA,"F. Ruiz, A. Aguado, C. Serrat, J.R. Casas",NA,NA,NA,NA,"NA",NA,NA,"Anales de Edificación",NA,"9","SGR2022: YES , PID: NO , NA , NA , Firstauthor: NO , Lastauthor: NO , Bioinf: 0 , Stat_Prob: 1 ,  ,",NA,NA,"75",NA,NA,NA,"Escala de gravedad de daños en edificios. De la asignación directa a la contrastación estadística = Scale of severity of damages in buildings. From the direct assignment to the statistical contrastation",NA,"4","2018","10.20868/ade.2018.3782","2444-1309","2","http://polired.upm.es/index.php/anales_de_edificacion/article/view/3782","<p>Resumen Está firmemente demostrada la importancia de realizar mantenimiento preventivo en los edificios, para evitar que se degraden y aparezcan lesiones graves. También está demostrado que con el mantenimiento preventivo se ahorra dinero frente al mantenimiento correctivo. En el marco del mantenimiento cabe decir que, para realizar las inspecciones periódicas de los edificios, es de gran utilidad el poder cuantificar hasta qué punto las deficiencias existentes son graves o no, con objeto de facilitar la toma de decisiones y priorizar las intervenciones terapéuticas. De hecho, se han utilizado y utilizan numerosas escalas diferentes entre sí para valorar el grado de gravedad de los elementos constructivos. Pero no existe consenso común y estas escalas son diferentes entre sí según el estudio a que pertenezcan. Por ejemplo, en las diferentes normas ITE existentes en España se utilizan diferentes escalas y formas de valorar las deficiencias existentes y no hay consenso común en el método de valoración. El objetivo del presente artículo es proponer, en base a un largo y riguroso proceso metodológico, una escala que sirva para valorar el grado de gravedad de los daños en edificios, que pueda ser utilizada de manera generalizada. Abstract The importance of performing preventive maintenance on buildings is clearly demonstrated, in order to prevent them from deterioration and severe damages. It is also demonstrated that preventive maintenance saves money versus corrective maintenance. In the framework of maintenance, to make periodic inspections of the buildings is useful to quantify the extent to which deteriorations are severe or not, in order to facilitate decision making and prioritize interventions. To this purpose many scales have been used and are used to assess the severity of damage and deterioration of the building components. But it appears evident that there is not common consensus and these scales are different between them, according to the study they belong to. Everything referred shows the need to propose and validate a scale that serves to assess the degree of severity of construction elements in buildings, which is widely used. Therefore, the objective of this article is to propose, based on a long and rigorous methodological process, a scale that serves to assess the degree of severity of damage in buildings, which can be widely used.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","ARTICLE","Expl201979",NA,NA,"L M Acosta, A Torres, Z Krejza, V Gibert, C Serrat",NA,NA,NA,NA,"NA",NA,NA,"IOP Conference Series: Earth and Environmental Science",NA,"1","SGR2022: YES , PID: NO , NA , IF: SJR - SCImago 0.149 , Firstauthor: NO , Lastauthor: NO , Bioinf: 0 , Stat_Prob: 0 ,  ,",NA,NA,"012027",NA,NA,NA,"Exploring Technological Alternatives to the Visual Inspection Method in the Built Environment",NA,"222","2019","10.1088/1755-1315/222/1/012027","1755-1315",NA,"https://iopscience.iop.org/article/10.1088/1755-1315/222/1/012027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","ARTICLE","Impl201980",NA,NA,"A Torres, L M Acosta, V Gibert, C Serrat",NA,NA,NA,NA,"NA",NA,NA,"IOP Conference Series: Earth and Environmental Science",NA,"1","SGR2022: YES , PID: NO , NA , IF: SJR - SCImago 0.149 , Firstauthor: NO , Lastauthor: NO , Bioinf: 0 , Stat_Prob: 0 ,  ,",NA,NA,"012029",NA,NA,NA,"Implementation of a Multi-scale Predictive System of the Degradation of the Urban Front in Brno, Czech Republic",NA,"222","2019","10.1088/1755-1315/222/1/012029","1755-1315",NA,"https://iopscience.iop.org/article/10.1088/1755-1315/222/1/012029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","ARTICLE","Meth202281",NA,NA,"Félix Ruiz, Antonio Aguado, Carles Serrat",NA,NA,NA,NA,"NA",NA,NA,"Structure and Infrastructure Engineering",NA,"2","SGR2022: YES , PID: NO , HQ: 2 , IF: 3,087 , Firstauthor: NO , Lastauthor: NO , Bioinf: 0 , Stat_Prob: 1 ,  ,",NA,NA,"1-13",NA,NA,NA,"Methodology for calculating the severity index of buildings",NA,NA,"2022","10.1080/15732479.2022.2035406","1573-2479",NA,"https://www.tandfonline.com/doi/full/10.1080/15732479.2022.2035406",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","ARTICLE","Onth201782",NA,NA,"Carles Serrat Piè, Vicente Gibert Armengol, Joan Ramon Casas Rius, Jacek Rapinski",NA,NA,NA,NA,"NA",NA,NA,"IOP Conference Series: Materials Science and Engineering",NA,NA,"SGR2022: YES , PID: NO , NA , IF: SJR - SCImago 0.201 , Firstauthor: YES , Lastauthor: YES , Bioinf: 0 , Stat_Prob: 0 ,  ,",NA,NA,NA,NA,NA,NA,"On the selection of significant variables in a model for the deteriorating process of facades",NA,NA,"2017","0.1088/1757-899X/251/1/012071",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","ARTICLE","Opti201983",NA,NA,"Félix Ruiz, Antonio Aguado, Carles Serrat, Joan R. Casas",NA,NA,NA,NA,"NA",NA,NA,"Structure and Infrastructure Engineering",NA,"6","SGR2022: YES , PID: NO , HQ: 2 , IF: 2,62 , Firstauthor: NO , Lastauthor: NO , Bioinf: 0 , Stat_Prob: 1 ,  ,",NA,NA,"740-753",NA,NA,NA,"Optimal metric for condition rating of existing buildings: is five the right number?",NA,"15","2019","10.1080/15732479.2018.1557702","1573-2479","6","https://www.tandfonline.com/doi/full/10.1080/15732479.2018.1557702",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
